work_unit,package_count,supplier_count,total_contract_value,hhi_supplier_package_count,hhi_supplier_value
DINAS KEPENDUDUKAN DAN PENCATATAN SIPIL - 2.12.0.00.0.00.01.0000,1,1,439560000.0,1.0,1.0
LABORATORIUM KEBAKARAN DAN PENYELAMATAN - 1.05.0.00.0.00.02.0006,1,1,106826400.0,1.0,1.0
PANTI SOSIAL ASUHAN ANAK PUTRA UTAMA 3 - 1.06.0.00.0.00.01.0009,1,1,334656000.0,1.0,1.0
PUSAT PELATIHAN KERJA PENGEMBANGAN INDUSTRI - 2.07.3.32.3.29.01.0013,1,1,708840450.0,1.0,1.0
PUSAT PELAYANAN PENDANAAN PERSONAL DAN OPERASIONAL PENDIDIKAN - 1.01.0.00.0.00.01.0018,1,1,2704240000.0,1.0,1.0
PUSAT PENDIDIKAN DAN PELATIHAN PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN - 1.05.0.00.0.00.02.0007,1,1,313575000.0,1.0,1.0
PUSKESMAS PASAR REBO - 1.02.0.00.0.00.01.0122,1,1,1046981565.0,1.0,1.0
PUSKESMAS PULO GADUNG - 1.02.0.00.0.00.01.0130,1,1,256881750.0,1.0,1.0
RUMAH SAKIT UMUM DAERAH KRAMAT JATI - 1.02.0.00.0.00.01.0077,1,1,1485402000.0,1.0,1.0
RUMAH SAKIT UMUM DAERAH MAMPANG PRAPATAN - 1.02.0.00.0.00.01.0075,1,1,1262610093.0,1.0,1.0
SEKOLAH MENENGAH ATAS NEGERI UNGGULAN MOHAMMAD HUSNI THAMRIN - 1.01.0.00.0.00.01.0020,1,1,409423500.0,1.0,1.0
SEKRETARIAT DPRD - 4.02.0.00.0.00.02.0000,1,1,838827000.0,1.0,1.0
"SUKU DINAS CIPTA KARYA, TATA RUANG DAN PERTANAHAN KOTA ADMINISTRASI JAKARTA PUSAT - 1.03.0.00.0.00.03.0001",1,1,1055101600.0,1.0,1.0
SUKU DINAS LINGKUNGAN HIDUP KOTA ADMINISTRASI JAKARTA TIMUR - 2.11.0.00.0.00.01.0005,1,1,311255100.0,1.0,1.0
SUKU DINAS PARIWISATA DAN EKONOMI KREATIF KOTA - JAKTIM - 3.26.0.00.0.00.01.0004,1,1,727450960.0,1.0,1.0
SUKU DINAS PENANGGULANGAN KEBAKARAN DAN PENYELAMATAN KOTA ADMINISTRASI JAKARTA TIMUR - 1.05.0.00.0.00.02.0004,1,1,2254376478.0,1.0,1.0
SUKU DINAS PENDIDIKAN KABUPATEN - KEP. SERIBU - 1.01.0.00.0.00.01.0011,1,1,5768115000.0,1.0,1.0
SUKU DINAS PERTAMANAN DAN HUTAN KOTA KOTA ADMINISTRASI JAKARTA TIMUR - 3.28.0.00.0.00.01.0005,1,1,693110793.0,1.0,1.0
SUKU DINAS SOSIAL KOTA ADMINISTRASI JAKARTA BARAT - 1.06.0.00.0.00.01.0003,1,1,188589000.0,1.0,1.0
UNIT PENGELOLA DANA PERUMAHAN - 1.04.0.00.0.00.01.0008,1,1,148518000.0,1.0,1.0
UNIT PENGELOLA GEDUNG PERTUNJUKAN SENI BUDAYA - 2.22.0.00.0.00.01.0013,1,1,153651750.0,1.0,1.0
UNIT PENGELOLA GELANGGANG JAKARTA BARAT - 2.19.0.00.0.00.01.0014,1,1,165960740.0,1.0,1.0
UNIT PENGELOLA KAWASAN MONUMEN NASIONAL - 3.26.0.00.0.00.01.0009,1,1,264124500.0,1.0,1.0
UNIT PENGELOLA RUMAH SUSUN III - 1.04.0.00.0.00.01.0011,1,1,138460000.0,1.0,1.0
UNIT PENGELOLA SISTEM JALAN BERBAYAR ELEKTRONIK - 2.15.0.00.0.00.01.0015,1,1,360084000.0,1.0,1.0
