package_id,year,supplier_name,work_unit,procurement_method,procurement_type,is_partial_snapshot_year,split,baseline_score,baseline_rank,top_feature_1,top_feature_1_contribution,top_feature_2,top_feature_2_contribution,top_feature_3,top_feature_3_contribution
59957127,2024,PT.SAMUDRA ANUGRAH INDAH PERMAI,"DINAS KETAHANAN PANGAN, KELAUTAN DAN PERTANIAN - 2.09.3.25.3.27.01.0000",Tender,Pekerjaan Konstruksi,false,train,2.69765448961,651,procurement_type_code,5,work_unit_supplier_hhi_prior_package_count_year,3.3724537986,tender_duration_days,2.26359710665
10098430000,2026,Nurul Zakiyyah,"PUSAT DATA DAN INFORMASI CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0007",Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,true,evaluation,2.69742620864,652,hps_to_pagu_ratio,6.10647822162,procurement_type_code,3,tender_duration_days,1.90116666
10098432000,2026,YONDA EKO PRASETYO,"PUSAT DATA DAN INFORMASI CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0007",Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,true,evaluation,2.69742620864,653,hps_to_pagu_ratio,6.10647822162,procurement_type_code,3,tender_duration_days,1.90116666
10098436000,2026,Jamaluddin,"PUSAT DATA DAN INFORMASI CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0007",Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,true,evaluation,2.69742620864,654,hps_to_pagu_ratio,6.10647822162,procurement_type_code,3,tender_duration_days,1.90116666
10098441000,2026,Anggito Venuary Sukamdi,"PUSAT DATA DAN INFORMASI CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0007",Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,true,evaluation,2.69742620864,655,hps_to_pagu_ratio,6.10647822162,procurement_type_code,3,tender_duration_days,1.90116666
10098459000,2026,Muhardiyan Erawan,"PUSAT DATA DAN INFORMASI CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0007",Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,true,evaluation,2.69742620864,656,hps_to_pagu_ratio,6.10647822162,procurement_type_code,3,tender_duration_days,1.90116666
10098461000,2026,Iqbal Fikri Ihsan,"PUSAT DATA DAN INFORMASI CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0007",Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,true,evaluation,2.69742620864,657,hps_to_pagu_ratio,6.10647822162,procurement_type_code,3,tender_duration_days,1.90116666
10098462000,2026,Rahmatullah,"PUSAT DATA DAN INFORMASI CIPTA KARYA, TATA RUANG DAN PERTANAHAN - 1.03.0.00.0.00.03.0007",Seleksi,Jasa Konsultansi Perorangan Non Konstruksi,true,evaluation,2.69742620864,658,hps_to_pagu_ratio,6.10647822162,procurement_type_code,3,tender_duration_days,1.90116666
10035580000,2025,PT. RAMU PRIMA PERSADA,DINAS PERUMAHAN RAKYAT DAN KAWASAN PERMUKIMAN - 1.04.0.00.0.00.01.0000,Seleksi,Jasa Konsultansi Badan Usaha Konstruksi,false,train,2.69685758174,659,supplier_prior_contract_share_year,6.90268295577,supplier_prior_package_count_year,2,evaluation_duration_days,1.78801504038
59937127,2024,CV. RIAPRIMA PUTRI AMBAR,RUMAH SAKIT UMUM DAERAH MAMPANG PRAPATAN - 1.02.0.00.0.00.01.0075,Tender,Pekerjaan Konstruksi,false,train,2.68545269341,660,procurement_type_code,5,hps_to_pagu_ratio,3.67534620964,savings_to_hps_ratio,1.86206090721
